package	own_source_loc_rust	own_dyn_hits	dep_dyn_hits	total_dyn_hits	dep_distinct_crates_using_dyn	fetch_status	own_dyn_sample
sys-apps/ripgrep-all-0.10.9-r1	3994	32	228	260	15	OK	./.upstream-cache/ripgrep-all-0.10.9/src/matching.rs:58:    adapters: &[Arc<dyn FileAdapter>],|./.upstream-cache/ripgrep-all-0.10.9/src/matching.rs:60:) -> Result<impl Fn(FileMeta) -> Option<(Arc<dyn FileAdapter>, FileMatcher)> + use<>> {|./.upstream-cache/ripgrep-all-0.10.9/src/caching_writer.rs:14:    dyn FnOnce((u64, Option<Vec<u8>>)) -> Pin<Box<dyn Future<Output = Result<()>> + Send>> + Send;|
sys-apps/ripgrep-all-0.10.10	3993	32	228	260	15	OK	./.upstream-cache/ripgrep-all-0.10.10/src/matching.rs:58:    adapters: &[Arc<dyn FileAdapter>],|./.upstream-cache/ripgrep-all-0.10.10/src/matching.rs:60:) -> Result<impl Fn(FileMeta) -> Option<(Arc<dyn FileAdapter>, FileMatcher)> + use<>> {|./.upstream-cache/ripgrep-all-0.10.10/src/caching_writer.rs:14:    dyn FnOnce((u64, Option<Vec<u8>>)) -> Pin<Box<dyn Future<Output = Result<()>> + Send>> + Send;|
sys-apps/zram-generator-1.2.1	1959	0	66	66	3	OK	|
sys-apps/ipmi-fan-control-0.4.0-r1	1874	0	29	29	2	OK	|
sys-apps/zram-generator-1.1.2-r1	1585	0	46	46	2	OK	|
sys-apps/asahi-startup-disk-0.1.3-r1	392	2	79	81	2	OK	./.upstream-cache/asahi-startup-disk-0.1.3/src/startup_disk.rs:65:pub fn startup_disk_library() -> &'static dyn StartupDiskTrait {|./.upstream-cache/asahi-startup-disk-0.1.3/src/startup_disk.rs:73:    let startup_disk_library: &dyn StartupDiskTrait = if use_mock_library {||
sys-apps/uutils-findutils-9999	0	0	51	51	5	ERROR_DOWNLOAD(github.com)	
sys-apps/asahi-nvram-0.2.4	0	0	50	50	4	ERROR_DOWNLOAD(github.com)	
sys-apps/asahi-nvram-0.2.3	0	0	42	42	4	ERROR_DOWNLOAD(github.com)	
sys-apps/asahi-bless-0.4.3	0	0	50	50	4	ERROR_DOWNLOAD(github.com)	
sys-apps/asahi-bless-0.4.1	0	0	42	42	4	ERROR_DOWNLOAD(github.com)	
